record_index,image_name,provenance_file,original_provenance_sha256,original_image_sha256,tampered_image_sha256,image_byte_offset,image_byte_before,image_byte_after,original_label,tampered_label,original_quality,tampered_quality,original_identifier,tampered_identifier,label_tampered_provenance_sha256,quality_tampered_provenance_sha256,identifier_tampered_provenance_sha256
1,0_0.jpg,0_0.provenance.json,a4fb4aafb5f46b4f08d0b3caee30de5b3ed8da8a45af81564e3dcbf61cb1fc93,c3820cfdc49b1e5286a9f111f5e10a0ab4d31393c65cf4e082a7e0d6301ff174,949fe8616280ccd431c44f3fd3fff46fe39095fa6caf1c200d603b75fca9e122,64883,57,56,GON+,GON-,6.18,6.19,0_0.jpg,tampered_0_0.jpg,893280b87b5c4ff477da0ef0e99315afaaeec80ee7947dfaea821be607c4bab7,23f71240c52fe123d1e0856d22b7924eba417520fe19de3da2ebe6daa5254b6b,848f3300a880f7fcd967575d3f1b53c1ab30a8fcf9bf9b25861b6aa3e0908ee6
2,1_0.jpg,1_0.provenance.json,9fb2d99420b87aa894d44c20d8870c0c4ac2f9daa7ad12db877060930cadd3b6,988cbad756c66b972e3af7c506af46f7a63b6f1664e5127642e1000f6b6babb1,694f428126e083057a7c21ce8146c402d149b464ed81c2765166dfd76f07c398,58900,105,104,GON+,GON-,5.31,5.32,1_0.jpg,tampered_1_0.jpg,fe02a232acccb8de8b81eb8532dd6a9983d271d60832972f3b80f0b4d96606ca,d266654247fc592ac1775dcaa2131250f7370ecd3bb6281764478a8a57b258df,8a05bdffd3d6efcdbc5f9f176cb3ad9de66e7d5fd858e07653dbc83aecff8118
3,1_1.jpg,1_1.provenance.json,055bb82d73c1ef0e3407d6d989e00a00c22f8ec5f98b03c8db80d46281717fee,ad6bd5dee6bdd9e355288cbb99019f8f6b394267c788e80a10f95d4a35707246,d73b6761957ad5be4ded7e5749c8c444d350c5b0e657e653614c7cb89d749271,63388,189,188,GON+,GON-,4.37,4.38,1_1.jpg,tampered_1_1.jpg,30cfb18e72e61c5125631aa5509f301cdaa3b88c8a85d7d8f334546745721fbe,cbada0606d4bc91e5dbfa3e52e08a199fbd6cefe899bde657d06a242ac9b6e10,1ff36dbea3ab1dc8c44bc028256fa43076cd79c5ffa04212744773a10aedb5a6
4,2_0.jpg,2_0.provenance.json,6e31f39610f1848a2fb1158d8a44649377a81db0dac5fecbdb947c1397699bcc,27f0ae5fac7e10b98ea6bc706347d79bed7fc5c50054aa4c4ef170be2633714d,de49f6528fa590c1f2b12e7426513ff7ca94c59fffb60bcbe51e725df3d67bfa,54018,51,50,GON+,GON-,3.51,3.52,2_0.jpg,tampered_2_0.jpg,898cec315c3c480860c2c716c7008fc5e36d6c6f6f3b38d7e27a262ec6f984cf,13aa95b94b89e723070c5b55eb720fc61752525b1342aa01f52cbc19ddf7ea2b,a115302bd48c26df0fb7f8d4243a65fa1802f4179779f7eb4fe67c8d772bb103
5,2_1.jpg,2_1.provenance.json,f51d77051e40daeba4dbf7c1f95d8f8e6163da0c8a942ff90e0ea689fc6d931d,a95cc2f4337e2a9e0ec357be2733408a39c55a5a43f492c59a3424ffb8c83de4,79a43923ff9a31872f8df535db67c06ec0a1498bd440c11cd3245762237a5bda,54399,209,208,GON+,GON-,4.24,4.25,2_1.jpg,tampered_2_1.jpg,1a1ddb2e28b0d43ed4599698d12842ee8b5955697c452ba65b067b330e482498,ad8ea4fdd009f470686fe022ffc104b31f9cdd1394c778f3d6794d0c05db3350,332252e51dae36f30d9bae9c745765de08361136321a490fba9c427dba1165db
6,3_0.jpg,3_0.provenance.json,6a72d9aa78b901f5c4354aedb21fbffa7e1a961832041efc48f11925ea616bb3,4012fe0fca39303df8828b843802586314d224ead92a82783c534cd9732f2866,998e96e6d4b7f051004ad394e6d84160b22fdc4546e59e0b2252ad1271aaf694,56568,172,173,GON+,GON-,5.95,5.96,3_0.jpg,tampered_3_0.jpg,803e6f439059ca4502f32ea936624efb4cd8d654fb541b58ef5abb19f565b0f7,c49943989998d565458cc9a85cfe9bacd51f2b67ac88298b0d3b06ba8eb926ee,eed72fb6a2ca6cbe66ce5180061caaa2501ceb56aae935db68b1688c2a230907
7,3_1.jpg,3_1.provenance.json,74d34efcf8b54084a470596a0fd44f2d7d645672c4e5fd56428ff3ff8b3f212b,c483e9508e025cadbccb8c5a4d71e69dab372c7305f680210a7a49caace554d2,10a02d595ae87170af4f6f3b37a496e47eebbee3a44144924e95245b48a92b18,56346,41,40,GON+,GON-,4.22,4.23,3_1.jpg,tampered_3_1.jpg,9f66740898630c9698fb0d709bf189d72278f7e0287983de427bb7fd0519b100,008e02cd6238bf2d9846f7959d7b654ad97a7154b307ec0638a457762075a24e,49bb4171d73d91fdafbf6146a5d95b79203c19d74390e22c45518ddddfbf3152
8,4_0.jpg,4_0.provenance.json,2911aa2830d720abb4403bd0a2168b808404c5264d64db218f15e4d0214370a7,c2522be90e860f1c4a0c92ada374ff11b9df7844fa40b0a10d6e39420c1e630d,bf244a945169424418a5dcc7b5d90dd9430a8c2b6dc3bc3d19325ff463cbb97c,59125,182,183,GON+,GON-,5.25,5.26,4_0.jpg,tampered_4_0.jpg,794ecd190f9b929afbe71df6e2aa7092f17a6842729272095fd5baabdde75311,985d045b0d512da75157bfd8f9ccc975a482102f5a0a548aa526beb37631355b,a3f9bf9ae7c42055214e9c0c64112d25efee2de589b4a5a8adc772e0e938b11e
9,5_0.jpg,5_0.provenance.json,66d317363c1425271c049826325623c7a5a107796b75011745d1ca8683cde76f,bc5726f1cdaa1c4ed226b81dc3183f89ce8edecb9eaeab5628e79250589030ae,442f7477e586be780c46d747feb9f78e0082610eeed25f2f329335dd70ef7ec4,60294,193,192,GON+,GON-,6.58,6.59,5_0.jpg,tampered_5_0.jpg,71644eaad4163e1753f1e8421b2a983e29fceee50ef48fdfb804134d7244d40f,dc63297885990ed9dd29e2425f3576a3f05f8aefeef0c78c0cc7d1c858ad0a21,6d781653b13d36470ac6827ebaf83db063643e56a115d743bc9ac1b9ffb46921
10,5_1.jpg,5_1.provenance.json,abb28d71b3475ad71b41a33fe8ca2d16e4dbe16fdee704516ccc38312a9191e7,7dcb29816657f6fe012dbe4366939eeb6d4633abc9234ff0bdbb507feb6ca507,4e138d64eef555300ab556fd79109e7d4e7d9eafd28a3fa1aaef399e1bab9180,59058,99,98,GON+,GON-,6.67,6.68,5_1.jpg,tampered_5_1.jpg,d89afaa67cf093e7ba9527ae1aeff760dfa024038adbd353e9ac015d210a2db6,f285a331f277e87c00b6fbc3394989198aa3a38ab0c1059004741ab671c32de1,e398e79125fd3ad646080e12076d837478f3005a629b1d02f74e2e85e2a7c015
