block,algorithm,order_position,hash_median_ns,construct_median_ns,sign_median_ns,e2e_median_ns,e2e_mean_ns
1,ECDSA_P256_SHA256,1,48000,208,17417,65834,85690.25836680054
1,ML_DSA_65,2,48000,208,445833,496458,615262.1124497992
2,ECDSA_P256_SHA256,1,47667,208,17375,65417,84125.60508701473
2,ML_DSA_65,2,48167,208,447000,496833,649070.4792503347
3,ECDSA_P256_SHA256,2,47667,208,17500,65625,84521.17938420348
3,ML_DSA_65,1,49500,209,463084,520916,655665.6171352075
4,ECDSA_P256_SHA256,1,47459,208,17417,65250,84123.19946452476
4,ML_DSA_65,2,47750,208,447792,496125,612673.484605087
5,ECDSA_P256_SHA256,1,47250,208,17417,65000,84547.95582329317
5,ML_DSA_65,2,47792,208,374041,440500,611317.767068273
6,ECDSA_P256_SHA256,2,49791,209,18334,68375,88492.29317269077
6,ML_DSA_65,1,48250,208,440250,488792,572641.6050870147
7,ECDSA_P256_SHA256,2,47333,208,17375,65125,83751.21151271753
7,ML_DSA_65,1,48208,208,445625,494292,622086.1767068274
8,ECDSA_P256_SHA256,1,47167,208,17375,64791,83337.67068273092
8,ML_DSA_65,2,47917,208,445416,493375,616820.0040160642
9,ECDSA_P256_SHA256,1,47417,208,17375,65166,83910.64257028112
9,ML_DSA_65,2,48042,208,447208,497000,623414.9933065596
10,ECDSA_P256_SHA256,1,47458,208,17458,65208,83954.31994645248
10,ML_DSA_65,2,47834,208,446750,491750,614688.9250334672
11,ECDSA_P256_SHA256,2,47625,208,17458,65292,84064.87416331995
11,ML_DSA_65,1,48333,208,445625,493750,625495.1526104418
12,ECDSA_P256_SHA256,1,47209,208,17417,64875,83647.08165997322
12,ML_DSA_65,2,47833,208,445458,494166,607650.8955823294
13,ECDSA_P256_SHA256,2,47459,208,17375,65166,83867.96921017404
13,ML_DSA_65,1,48334,208,386375,490917,615682.2235609103
14,ECDSA_P256_SHA256,1,47250,208,17375,64834,83436.35876840696
14,ML_DSA_65,2,48083,208,447167,496833,631606.7991967872
15,ECDSA_P256_SHA256,1,47417,208,17417,65167,84361.6452476573
15,ML_DSA_65,2,48041,208,445000,490250,603347.6693440429
16,ECDSA_P256_SHA256,1,47667,208,17458,65333,84397.4390896921
16,ML_DSA_65,2,48209,208,445875,493500,616661.5970548862
17,ECDSA_P256_SHA256,1,47500,208,17458,65292,84408.19009370817
17,ML_DSA_65,2,48000,208,446083,494292,612958.4645247657
18,ECDSA_P256_SHA256,2,47625,208,17458,65375,84502.50200803213
18,ML_DSA_65,1,48125,208,445125,493667,604962.0120481928
19,ECDSA_P256_SHA256,2,47500,208,17375,65209,84296.19143239626
19,ML_DSA_65,1,47709,208,445334,493708,628651.4417670682
20,ECDSA_P256_SHA256,2,47708,208,17375,65542,84593.27041499331
20,ML_DSA_65,1,48000,208,446000,495584,600651.3882195449
21,ECDSA_P256_SHA256,2,47833,208,17458,65584,84734.05087014726
21,ML_DSA_65,1,48208,208,445416,494833,606406.2382864793
22,ECDSA_P256_SHA256,2,47583,209,17458,65375,84662.69611780455
22,ML_DSA_65,1,48000,208,445750,494375,619796.967871486
23,ECDSA_P256_SHA256,2,47542,208,17416,65209,84060.74029451137
23,ML_DSA_65,1,47958,208,447958,497334,626566.1178045515
24,ECDSA_P256_SHA256,1,47209,208,17375,64833,83397.9344042838
24,ML_DSA_65,2,47917,208,445875,493875,619988.9022757697
25,ECDSA_P256_SHA256,1,47833,208,17417,65667,84703.26639892904
25,ML_DSA_65,2,47542,208,367000,423916,602281.7911646586
26,ECDSA_P256_SHA256,2,47375,208,17417,65166,83853.86345381525
26,ML_DSA_65,1,48167,208,447125,497042,613881.0133868809
27,ECDSA_P256_SHA256,2,47750,208,17416,65583,84757.19544846051
27,ML_DSA_65,1,47917,208,445292,495333,624641.7925033467
28,ECDSA_P256_SHA256,2,47375,208,17375,65042,83938.12851405622
28,ML_DSA_65,1,48125,208,445583,496041,595390.1593038822
29,ECDSA_P256_SHA256,2,47708,208,17416,65500,84428.63319946453
29,ML_DSA_65,1,47709,208,446000,494875,630800.0883534136
30,ECDSA_P256_SHA256,1,47458,208,17375,65167,84005.75769745649
30,ML_DSA_65,2,47875,208,445333,493167,639575.452476573
