block,algorithm,order_position,sign_median_ns,sign_mean_ns,sign_q1_ns,sign_q3_ns,verify_median_ns,verify_mean_ns,verify_q1_ns,verify_q3_ns,sign_throughput_ops_s,verify_throughput_ops_s,signature_mean_bytes,signature_median_bytes
1,ECDSA_P256_SHA256,1,17292,17371.9156626506,17250.0,17375.0,49042,49203.60107095047,49000.0,49125.0,57564.17538625215,20323.715708490985,71.01472556894244,71
1,ML_DSA_65,2,446458,536864.0388219545,278625.0,626458.5,102958,103216.36144578313,102542.0,103292.0,1862.668995662866,9688.386472771315,3309,3309
2,ECDSA_P256_SHA256,1,17209,17293.89156626506,17167.0,17250.0,49041,49195.140562249,49000.0,49083.0,57823.8851659441,20327.210951550212,70.99598393574297,71
2,ML_DSA_65,2,446833,529359.6171352075,278875.0,702333.0,102792,103218.84069611781,102542.0,103083.0,1889.0749645993167,9688.15376394371,3309,3309
3,ECDSA_P256_SHA256,2,17167,17322.744310575636,17125.0,17250.0,49042,49266.645247657296,49000.0,49084.0,57727.57376494291,20297.70841860907,70.94243641231593,71
3,ML_DSA_65,1,447458,551435.1365461848,278604.5,703583.5,102875,103240.67603748327,102500.0,103250.0,1813.4499122840102,9686.104725204756,3309,3309
4,ECDSA_P256_SHA256,1,17167,17201.25702811245,17125.0,17209.0,49000,49126.468540829985,48959.0,49083.0,58135.28618086891,20355.625586416416,70.9839357429719,71
4,ML_DSA_65,2,446792,565258.8808567604,278708.0,703104.5,103125,103845.10843373495,102750.0,103500.0,1769.1009090990385,9629.726571455356,3309,3309
5,ECDSA_P256_SHA256,1,17208,17290.737617135208,17166.0,17250.0,49041,49208.57295850067,49000.0,49083.0,57834.43263918336,20321.662260828725,70.97456492637215,71
5,ML_DSA_65,2,447875,557279.7925033467,279208.0,704187.5,102958,103283.6907630522,102625.0,103292.0,1794.4307571389188,9682.07073751988,3309,3309
6,ECDSA_P256_SHA256,2,17208,17257.5702811245,17166.0,17250.0,49084,50837.475234270416,49041.5,49250.0,57945.58467444006,19670.528392524946,70.9946452476573,71
6,ML_DSA_65,1,369083,524058.5890227577,278604.5,700458.5,102959,103666.1485943775,102625.0,103458.0,1908.1835904354848,9646.35045826557,3309,3309
7,ECDSA_P256_SHA256,2,17250,17281.11512717537,17208.0,17292.0,51625,50817.70548862115,49084.0,51709.0,57866.636073007394,19678.180869931544,71,71
7,ML_DSA_65,1,446209,524807.9625167336,278625.0,701708.0,102750,103065.16733601071,102458.0,103125.0,1905.458894343881,9702.599101593876,3309,3309
8,ECDSA_P256_SHA256,1,18125,18000.175368139222,18000.0,18167.0,49041,49225.26506024096,48959.0,49083.0,55555.01430113986,20314.7712617945,70.93574297188755,71
8,ML_DSA_65,2,446875,534653.7764390897,278812.5,699750.0,103459,107924.70682730923,102875.0,108667.0,1870.3692820804845,9265.718938668086,3309,3309
9,ECDSA_P256_SHA256,1,18167,19024.107095046853,18125.0,18250.0,51875,56140.46452476573,51750.0,53979.5,52564.88491175292,17812.46394138512,71.00937081659973,71
9,ML_DSA_65,2,471584,596537.4190093708,293708.5,762813.0,103125,110300.9718875502,102625.0,111333.0,1676.3407761756707,9066.103252648412,3309,3309
10,ECDSA_P256_SHA256,1,17375,18810.568942436414,17250.0,18916.0,49209,52739.9718875502,49084.0,54041.5,53161.60308920866,18960.95056956335,70.96385542168674,71
10,ML_DSA_65,2,458125,593680.0562248996,290083.0,739250.0,114500,251260.8112449799,111896.5,156875.0,1684.4089497612786,3979.9282468486404,3309,3309
11,ECDSA_P256_SHA256,2,17250,17807.840696117804,17208.0,17334.0,49083,50762.43507362784,49000.0,49292.0,56155.039629145205,19699.60658013274,71.01472556894244,71
11,ML_DSA_65,1,473208,632736.8821954485,297979.5,793458.5,109542,118818.70281124498,108125.0,117145.5,1580.4357674397527,8416.18344873363,3309,3309
12,ECDSA_P256_SHA256,1,17167,17568.04283801874,17125.0,17250.0,49042,50466.49263721553,49000.0,49125.0,56921.536975986586,19815.12777574262,71.02543507362785,71
12,ML_DSA_65,2,448916,586382.0722891566,282542.0,747520.5,102917,105723.14725568943,102667.0,105875.0,1705.3727377716968,9458.666583028586,3309,3309
13,ECDSA_P256_SHA256,2,19333,70143.57429718875,18958.0,36958.0,49208,60158.72155287818,49084.0,52541.5,14256.473383622233,16622.69367079256,70.9718875502008,71
13,ML_DSA_65,1,446709,544913.1459170013,278666.5,699645.5,112292,125233.72958500669,108375.0,119417.0,1835.1548453050452,7985.069224670944,3309,3309
14,ECDSA_P256_SHA256,1,17250,18671.258366800535,17208.0,18229.5,49125,51043.555555555555,49042.0,49417.0,53558.25410129321,19591.11173028699,71.00803212851406,71
14,ML_DSA_65,2,450709,588214.6318607765,279541.5,786000.0,102833,103224.34002677376,102500.0,103167.0,1700.059716019931,9687.637622489285,3309,3309
15,ECDSA_P256_SHA256,1,17250,17357.38152610442,17208.0,17333.0,49083,49228.58099062918,49041.0,49125.0,57612.376526727974,20313.40290288589,71.02409638554217,71
15,ML_DSA_65,2,446791,543353.1231593039,278395.5,700771.0,102750,103542.03614457832,102500.0,103083.0,1840.423763804912,9657.91322283517,3309,3309
16,ECDSA_P256_SHA256,1,17208,17265.410977242303,17167.0,17250.0,49041,49173.18875502008,48959.0,49083.0,57919.269996996256,20336.28538881181,71.01204819277109,71
16,ML_DSA_65,2,446083,560006.1057563588,278875.5,687187.5,103125,105916.3092369478,102770.5,105791.5,1785.694816040218,9441.41659772979,3309,3309
17,ECDSA_P256_SHA256,1,18166,19790.261044176706,17250.0,20375.0,53208,58182.5046854083,49125.0,60416.5,50529.90447007016,17187.297202260044,70.98795180722891,71
17,ML_DSA_65,2,446541,562209.0455153949,278083.5,704291.5,102958,103324.02409638555,102541.0,103416.0,1778.6978135210688,9678.291266193355,3309,3309
18,ECDSA_P256_SHA256,2,17250,18129.24230254351,17208.0,17416.0,49125,51193.88353413655,49042.0,49292.0,55159.50326615146,19533.583525328584,70.98259705488621,71
18,ML_DSA_65,1,448167,576278.8340026774,279312.0,720583.5,103166,110569.61981258367,102667.0,114541.0,1735.2710892646703,9044.075594137046,3309,3309
19,ECDSA_P256_SHA256,2,17208,17491.84471218206,17166.0,17250.0,49042,49698.80990629183,49000.0,49125.0,57169.49906967546,20121.206159373258,70.95314591700134,71
19,ML_DSA_65,1,446750,541146.5850066935,278854.5,700438.0,102792,103457.88888888889,102458.0,103166.0,1847.9281357520365,9665.76846618216,3309,3309
20,ECDSA_P256_SHA256,2,17250,17771.451137884873,17167.0,17333.0,49167,50853.243641231595,49083.0,49583.0,56270.02501040656,19664.429019611332,71.04685408299866,71
20,ML_DSA_65,1,446792,553838.4752342704,279062.5,702854.5,103209,105090.48728246319,102875.0,103833.0,1805.5805884143492,9515.609127514945,3309,3309
21,ECDSA_P256_SHA256,2,17208,17465.4578313253,17166.0,17292.0,49042,49567.03078982597,49000.0,49125.0,57255.87096872105,20174.70048266958,70.99062918340027,71
21,ML_DSA_65,1,456292,588467.4658634538,279125.0,786145.5,102917,104509.3641231593,102666.5,103395.5,1699.329288379108,9568.52056645898,3309,3309
22,ECDSA_P256_SHA256,2,17667,18956.986613119145,17250.0,18833.5,51750,53890.844712182065,49125.0,56521.0,52750.99995628799,18556.02756536398,70.98125836680053,71
22,ML_DSA_65,1,446417,551341.1793842035,278791.0,703250.0,113125,113598.3360107095,107396.0,115937.5,1813.7589525181238,8802.945845137421,3309,3309
23,ECDSA_P256_SHA256,2,17250,17932.961178045516,17208.0,17416.0,49125,50612.46318607764,49042.0,49208.0,55763.23899168717,19757.97930093783,71.00669344042838,71
23,ML_DSA_65,1,453166,577255.951807229,279791.5,717854.0,103291,106537.59036144578,102791.5,106396.0,1732.33380594739,9386.358341758438,3309,3309
24,ECDSA_P256_SHA256,1,17250,17814.9812583668,17208.0,17292.0,49083,50479.62382864793,49041.0,49167.0,56132.53168764072,19809.973295254338,70.99866131191432,71
24,ML_DSA_65,2,447250,546932.0026773761,279520.5,703437.0,103000,105733.093708166,102666.5,105937.5,1828.3808500960572,9457.776793707568,3309,3309
25,ECDSA_P256_SHA256,1,17250,17284.4672021419,17208.0,17292.0,49083,49315.8313253012,49041.0,49125.0,57855.41366736948,20277.464114996186,70.99866131191432,71
25,ML_DSA_65,2,449750,608748.1044176706,280979.0,701146.5,113667,119345.77376171351,112292.0,120250.0,1642.715587519737,8379.014760896402,3309,3309
26,ECDSA_P256_SHA256,2,18875,19045.010709504684,18792.0,18958.0,53834,61184.124497991965,53354.5,54833.0,52507.1902165398,16344.109002210525,70.99196787148594,71
26,ML_DSA_65,1,492834,618837.1914323963,307583.0,784979.0,112333,112903.89959839357,112041.0,113312.5,1615.9339061140495,8857.089999168003,3309,3309
27,ECDSA_P256_SHA256,2,17292,18058.345381526105,17209.0,18458.5,51791,52536.97590361446,51708.0,51875.0,55376.0590393299,19034.213195571494,70.96787148594377,71
27,ML_DSA_65,1,446875,569404.421686747,279270.5,717000.0,103167,106654.24631860777,102750.0,108000.0,1756.2209949787525,9376.091759278897,3309,3309
28,ECDSA_P256_SHA256,2,17250,17912.484605087015,17187.5,17375.0,49084,50575.63319946452,49042.0,49208.0,55826.98447740786,19772.367378103092,71.02008032128514,71
28,ML_DSA_65,1,447041,540002.1191432396,278542.0,702604.5,103167,106478.9344042838,102708.0,107000.0,1851.8445845853107,9391.528996741805,3309,3309
29,ECDSA_P256_SHA256,2,17375,17892.105756358767,17250.0,18250.0,53666,53379.50736278447,51792.0,53791.5,55890.57060232303,18733.780984595367,71.01472556894244,71
29,ML_DSA_65,1,447750,557256.7536813923,279250.0,704687.5,112041,109758.30522088353,103125.0,112375.0,1794.504944792007,9110.927851769815,3309,3309
30,ECDSA_P256_SHA256,1,18834,19108.9906291834,18791.0,18917.0,53625,53240.63319946452,51791.0,53709.0,52331.38784802124,18782.646634827357,70.99330655957162,71
30,ML_DSA_65,2,449375,568542.452476573,279709.0,741208.5,112083,112473.7670682731,108083.0,112791.5,1758.8836078009592,8890.96209779287,3309,3309
